entry,patch,KillCredit1,KillCredit2,modelid_1,modelid_2,modelid_3,modelid_4,name,subname,gossip_menu_id,minlevel,maxlevel,minhealth,maxhealth,minmana,maxmana,armor,faction_A,faction_H,npcflag,speed_walk,speed_run,scale,rank,mindmg,maxdmg,dmgschool,attackpower,dmg_multiplier,baseattacktime,rangeattacktime,unit_class,unit_flags,dynamicflags,family,trainer_type,trainer_spell,trainer_class,trainer_race,minrangedmg,maxrangedmg,rangedattackpower,type,type_flags,lootid,pickpocketloot,skinloot,resistance1,resistance2,resistance3,resistance4,resistance5,resistance6,spell1,spell2,spell3,spell4,PetSpellDataId,mingold,maxgold,AIName,MovementType,InhabitType,Civilian,RacialLeader,RegenHealth,equipment_id,trainer_id,vendor_id,MechanicImmuneMask,SchoolImmuneMask,flags_extra,ScriptName
48,0,0,0,200,0,0,0,Skeletal Warrior,,0,21,22,529,570,0,0,905,21,21,0,0.95,1.14286,0.0,0,31.0,39.0,0,98,1.0,2000,2000,1,0,0,0,0,0,0,0,35.6224,48.9808,100,6,0,48,48,0,0,0,0,0,0,0,9080,7165,0,0,0,27,40,EventAI,1,3,0,0,1,291,0,0,8602131,0,0,
54,0,0,0,1287,0,0,0,Corina Steele,Weaponsmith,0,10,10,413,413,0,0,20,11,11,16388,0.96,1.14286,0.0,0,9.0,13.0,0,62,1.0,2000,2000,1,4608,0,0,0,0,0,0,16.808,23.111,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,429,0,0,0,0,2,
60,0,0,0,2153,0,0,0,Ruklar the Trapper,,0,8,8,116,116,165,165,268,26,26,0,1.25,1.14286,0.0,0,10.0,12.0,0,58,1.0,1910,2101,0,0,0,0,0,0,0,0,13.4464,18.4888,100,7,0,60,0,0,0,0,0,0,0,0,6016,12024,0,0,0,7,14,EventAI,1,3,0,0,1,320,0,0,0,0,0,
61,0,0,0,3341,0,0,0,Thuros Lightfingers,,0,11,11,201,201,0,0,538,17,17,0,1.0,1.14286,0.0,4,21.0,26.0,0,64,1.0,1700,2000,1,0,0,0,0,0,0,0,23.8896,32.8482,100,7,0,61,0,0,0,0,0,0,0,0,15657,0,0,0,0,11,19,EventAI,0,3,0,0,1,737,0,0,0,0,0,
66,0,0,0,1298,0,0,0,Tharynn Bouden,Trade Supplies,0,10,10,413,413,0,0,20,11,11,4,0.96,1.14286,0.0,0,9.0,13.0,0,62,1.0,1500,2000,1,4608,0,0,0,0,0,0,16.808,23.111,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,0,0,0,0,0,2,
68,0,0,0,3167,0,0,0,Stormwind City Guard,,435,55,55,4667,5215,0,0,3791,11,11,1,1.0,1.14286,0.0,0,220.0,288.0,0,248,1.0,1600,2000,1,36864,0,0,0,0,0,0,301.34,422.17,100,7,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,690,,0,3,0,0,1,653,0,0,0,0,1024,guard_stormwind
69,0,0,0,604,0,0,0,Timber Wolf,,0,2,2,55,55,0,0,16,32,32,0,0.64,1.14286,0.7,0,2.0,2.0,0,46,1.0,2000,2000,1,0,0,1,0,0,0,0,3.5024,4.8158,100,1,1,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
74,0,0,0,1289,0,0,0,Kurran Steele,Cloth & Leather Armor Merchant,0,10,10,413,413,0,0,20,11,11,16388,0.96,1.14286,0.0,0,9.0,13.0,0,62,1.0,2000,2000,1,4608,0,0,0,0,0,0,16.808,23.111,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,0,0,0,0,0,2,
78,0,0,0,3275,0,0,0,Janos Hammerknuckle,Weaponsmith,0,5,5,166,166,0,0,20,11,11,16388,0.93,1.14286,0.0,0,6.0,8.0,0,52,1.0,2000,2000,1,4864,0,0,0,0,0,0,8.624,11.858,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,429,0,0,0,0,2,
79,0,0,0,774,0,0,0,Narg the Taskmaster,,0,10,10,361,361,0,0,512,26,26,0,1.0,1.14286,0.0,4,18.0,31.0,0,62,1.0,2000,2000,1,0,0,0,0,0,0,0,15.1624,20.8483,100,7,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,11,19,EventAI,1,3,0,0,1,429,0,0,0,0,0,
80,0,0,0,365,0,0,0,Kobold Laborer,,0,3,4,70,75,0,0,52,25,25,0,0.78,1.14286,0.0,0,3.0,5.0,0,50,1.0,2000,2000,1,0,0,0,0,0,0,0,0.0,0.0,0,7,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,2,8,EventAI,1,3,0,0,1,738,0,0,0,0,2,
89,0,0,0,169,0,0,0,Infernal,,0,50,50,3517,3517,3460,3460,4200,954,954,0,1.0,1.14286,0.0,0,183.0,220.0,0,226,1.0,1510,1661,0,0,0,0,0,0,0,0,66.44,91.355,100,3,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,137,685,,0,3,0,0,1,0,0,0,0,0,0,
92,0,0,0,171,0,0,0,Rock Elemental,,0,39,40,1751,1817,0,0,2824,91,91,0,1.05,1.14286,0.0,0,56.0,70.0,0,156,1.0,2000,2000,1,0,0,0,0,0,0,0,53.8384,74.0278,100,4,0,92,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,,1,3,0,0,1,0,0,0,646016863,0,0,
94,0,0,0,2361,0,0,0,Defias Cutpurse,,0,5,6,101,119,0,0,147,17,17,0,0.96,1.14286,0.0,0,7.0,10.0,0,54,1.0,2000,2000,1,0,0,0,0,0,0,0,13.4464,18.4888,100,7,0,94,94,0,0,0,0,0,0,0,53,0,0,0,0,5,12,EventAI,1,3,0,0,1,397,0,0,0,0,0,
95,0,0,0,4418,0,0,0,Defias Smuggler,,0,11,12,221,249,0,0,556,17,17,0,0.95,1.14286,0.0,0,17.0,22.0,0,66,1.0,2000,2000,1,32768,0,0,0,0,0,0,21.2784,29.2578,100,7,0,95,95,0,0,0,0,0,0,0,2589,10277,0,0,0,12,20,EventAI,0,3,0,0,1,1764,0,0,0,0,0,
97,0,0,0,10791,0,0,0,Riverpaw Runt,,0,8,9,160,184,0,0,357,20,20,0,0.82,1.14286,0.0,0,11.0,15.0,0,60,1.0,2000,2000,1,0,0,0,0,0,0,0,13.4464,18.4888,100,7,0,97,97,0,0,0,0,0,0,0,0,0,0,0,0,8,15,EventAI,1,1,0,0,1,717,0,0,0,0,0,
98,0,0,0,376,0,0,0,Riverpaw Taskmaster,,0,17,18,277,385,0,0,762,20,20,0,0.95,1.14286,0.0,0,27.0,34.0,0,84,1.0,2000,2000,1,0,0,0,0,0,0,0,28.6704,39.4218,100,7,0,98,98,0,0,0,0,0,0,0,3229,0,0,0,0,21,32,EventAI,1,3,0,0,1,673,0,0,0,0,0,
99,0,0,0,3320,0,0,0,Morgaine the Sly,,0,10,10,206,206,0,0,512,17,17,0,1.0,1.14286,0.0,4,18.0,31.0,0,62,1.0,2000,2000,1,0,0,0,0,0,0,0,15.1624,20.8483,100,7,0,99,99,0,0,0,0,0,0,0,12540,7159,11918,0,0,10,18,EventAI,1,3,0,0,1,242,0,0,0,0,0,
100,0,0,0,175,0,0,0,Gruff Swiftbite,,0,12,12,246,246,0,0,573,20,20,0,1.0,1.14286,0.0,4,18.0,20.0,0,66,1.0,1550,1705,0,0,0,0,0,0,0,0,17.732,24.3815,100,7,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,13,21,EventAI,1,1,0,0,1,344,0,0,0,0,0,
103,0,0,0,2073,0,0,0,Garrick Padfoot,,0,5,5,101,101,0,0,120,17,17,0,0.93,1.14286,0.0,0,6.0,7.0,0,52,1.0,2000,2000,1,0,0,0,0,0,0,0,8.624,11.858,100,7,0,103,103,0,0,0,0,0,0,0,0,0,0,0,0,3,9,EventAI,0,3,0,0,1,735,0,0,0,0,0,
113,0,0,0,503,0,0,0,Stonetusk Boar,,0,5,6,106,120,0,0,174,189,189,0,0.58,1.14286,0.0,0,7.0,10.0,0,54,1.0,2000,2000,1,0,0,5,0,0,0,0,8.624,11.858,100,1,1,113,0,113,0,0,0,0,0,0,6268,0,0,0,9081,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
114,0,0,0,378,0,0,0,Harvest Watcher,,0,14,15,315,358,0,0,660,14,14,0,0.95,1.14286,0.0,0,21.0,27.0,0,74,1.0,2000,2000,1,0,0,0,0,0,0,0,28.6704,39.4218,100,9,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,16,26,,1,3,0,0,1,0,0,0,8405008,0,0,
115,0,0,0,379,0,0,0,Harvest Reaper,,0,17,18,383,414,0,0,765,14,14,0,0.95,1.14286,0.0,0,27.0,34.0,0,84,1.0,2000,2000,1,0,0,0,0,0,0,0,28.6704,39.4218,100,9,0,115,0,0,0,0,0,0,0,0,7342,0,0,0,0,21,32,EventAI,1,3,0,0,1,0,0,0,8405008,0,0,
116,0,0,0,2357,0,0,0,Defias Bandit,,0,8,9,121,175,0,0,361,17,17,0,0.96,1.14286,0.0,0,11.0,15.0,0,60,1.0,2000,2000,1,0,0,0,0,0,0,0,13.4464,18.4888,100,7,0,116,116,0,0,0,0,0,0,0,8646,0,0,0,0,8,15,EventAI,1,3,0,0,1,694,0,0,0,0,0,
117,0,0,0,175,0,0,0,Riverpaw Gnoll,,0,11,12,221,232,0,0,555,20,20,0,0.95,1.14286,0.0,0,17.0,22.0,0,66,1.0,2000,2000,1,0,0,0,0,0,0,0,21.2784,29.2578,100,7,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,12,20,EventAI,1,3,0,0,1,717,0,0,0,0,0,
118,0,0,0,11415,0,0,0,Prowler,,0,9,10,183,211,0,0,459,38,38,0,0.82,1.14286,0.0,0,10.0,13.0,0,62,1.0,1500,2000,1,0,0,1,0,0,0,0,13.4464,18.4888,100,1,1,118,0,118,0,0,0,0,0,0,0,0,0,0,5943,0,0,,1,1,0,0,1,0,0,0,0,0,0,
119,0,0,0,381,0,0,0,Longsnout,,0,10,11,165,213,0,0,538,189,189,0,0.73,1.14286,0.0,0,29.0,34.0,0,64,1.0,2000,2068,0,0,0,5,0,0,0,0,18.1984,25.0228,100,1,0,119,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
121,0,0,0,2336,0,0,0,Defias Pathstalker,,0,15,16,325,367,0,0,896,17,17,0,0.95,1.14286,0.0,0,23.0,30.0,0,76,1.0,2000,2000,1,32768,0,0,0,0,0,0,28.6704,39.4218,100,7,0,121,121,0,0,0,0,0,0,0,2589,11972,0,0,0,18,28,EventAI,1,3,0,0,1,388,0,0,0,0,0,
122,0,0,0,2342,0,0,0,Defias Highwayman,,0,17,18,370,450,0,0,765,17,17,0,0.95,1.14286,0.0,0,27.0,34.0,0,84,1.0,2000,2000,1,32768,0,0,0,0,0,0,28.6704,39.4218,100,7,0,122,122,0,0,0,0,0,0,0,53,0,0,0,0,21,32,EventAI,1,3,0,0,1,414,0,0,0,0,0,
123,0,0,0,383,0,0,0,Riverpaw Mongrel,,0,13,14,272,299,0,0,628,20,20,0,0.95,1.14286,0.0,0,19.0,25.0,0,70,1.0,2000,2000,1,0,0,0,0,0,0,0,21.2784,29.2578,100,7,0,123,123,0,0,0,0,0,0,0,8016,0,0,0,0,14,24,EventAI,1,3,0,0,1,319,0,0,0,0,0,
124,0,0,0,384,0,0,0,Riverpaw Brute,,0,15,16,326,357,0,0,260,20,20,0,0.95,1.14286,0.0,0,31.0,39.0,0,76,1.0,2000,2000,1,0,0,0,0,0,0,0,28.6704,39.4218,100,7,0,124,124,0,0,0,0,0,0,0,13730,0,0,0,0,18,28,EventAI,1,3,0,0,1,131,0,0,0,0,0,
125,0,0,0,10790,0,0,0,Riverpaw Overseer,,0,19,19,438,438,0,0,833,20,20,0,0.95,1.14286,0.0,0,28.0,36.0,0,88,1.0,2000,2000,1,0,0,0,0,0,0,0,30.096,41.382,100,7,0,125,0,0,0,0,0,0,0,0,3136,0,0,0,0,24,37,EventAI,1,3,0,0,1,725,0,0,0,0,0,
126,0,0,0,983,0,0,0,Murloc Coastrunner,,0,11,13,244,247,0,0,292,18,18,0,0.95,1.14286,0.0,0,17.0,22.0,0,68,1.0,2000,2000,1,32768,0,0,0,0,0,0,21.2784,29.2578,100,7,0,126,126,0,0,0,0,0,0,0,7357,0,0,0,0,13,22,EventAI,1,3,0,0,1,397,0,0,0,0,0,
127,0,0,0,1995,0,0,0,Murloc Tidehunter,,0,18,19,375,408,408,456,671,18,18,0,0.95,1.14286,0.0,0,25.0,32.0,0,88,1.0,2000,2000,2,32768,0,0,0,0,0,0,28.6704,39.4218,100,7,0,127,127,0,0,0,0,0,0,0,11831,0,0,0,0,21,32,EventAI,1,3,0,0,1,0,0,0,0,0,0,
151,0,0,0,1292,0,0,0,Brog Hamfist,General Supplies,0,10,10,413,413,0,0,20,11,11,4,0.96,1.14286,0.0,0,9.0,13.0,0,62,1.0,1500,2000,1,4608,0,0,0,0,0,0,16.808,23.111,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,463,0,0,0,0,2,
152,0,0,0,3277,0,0,0,Brother Danil,General Supplies,0,5,5,166,166,0,0,20,11,11,4,0.93,1.14286,0.0,0,6.0,8.0,0,52,1.0,1500,2000,1,4864,0,0,0,0,0,0,8.624,11.858,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,463,0,0,0,0,2,
154,0,0,0,1105,0,0,0,Greater Fleshripper,,0,16,17,356,384,0,0,730,73,73,0,0.95,1.14286,0.0,0,24.0,31.0,0,80,1.0,2000,2000,1,0,0,7,0,0,0,0,24.288,33.396,100,1,1,154,0,0,0,0,0,0,0,0,12166,0,0,0,8834,0,0,EventAI,1,3,0,0,1,0,0,0,0,0,0,
157,0,0,0,3027,0,0,0,Goretusk,,0,14,15,298,326,0,0,677,189,189,0,0.95,1.14286,0.0,0,21.0,27.0,0,74,1.0,2000,2000,1,0,0,5,0,0,0,0,19.7472,27.1524,100,1,1,157,0,157,0,0,0,0,40,10,0,0,0,0,9085,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,2,
167,0,0,0,1844,0,0,0,Morhan Coppertongue,Metalsmith,0,15,15,644,644,0,0,20,57,57,16388,1.0,1.14286,0.0,0,17.0,22.0,0,74,1.0,2000,2000,1,4608,0,0,0,0,0,0,24.288,33.396,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,396,0,0,0,0,2,
171,0,0,0,1305,0,0,0,Murloc Warrior,,0,15,16,352,354,0,0,690,18,18,0,0.95,1.14286,0.0,0,47.0,60.0,0,76,1.0,3000,2000,1,32768,0,0,0,0,0,0,28.6704,39.4218,100,7,0,171,171,0,0,0,0,0,0,0,0,0,0,0,0,17,27,EventAI,1,3,0,0,1,619,0,0,0,0,0,
190,0,0,0,3276,0,0,0,Dermot Johns,Cloth & Leather Armor Merchant,0,5,5,166,166,0,0,20,11,11,16388,0.93,1.14286,0.0,0,6.0,8.0,0,52,1.0,2000,2000,1,4864,0,0,0,0,0,0,8.624,11.858,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,0,0,0,0,0,2,
193,0,0,0,196,0,0,0,Blue Dragonspawn,,0,50,51,7053,7055,0,0,3052,60,60,0,1.1,1.14286,0.0,1,328.0,421.0,0,230,1.0,1200,2000,1,64,0,0,0,0,0,0,58.08,79.86,100,2,8,193,0,193,0,0,0,175,0,0,0,0,0,0,0,380,501,,0,1,0,0,1,886,0,0,0,0,0,
196,0,0,0,3251,0,0,0,Eagan Peltskinner,,0,3,3,112,112,0,0,20,11,11,2,0.92,1.14286,0.0,0,3.0,5.0,0,48,1.0,1500,2000,1,4864,0,0,0,0,0,0,5.2272,7.1874,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,319,0,0,0,0,2,
197,0,0,0,1859,0,0,0,Marshal McBride,,0,20,20,919,919,0,0,852,11,11,3,1.02,1.14286,0.0,0,24.0,31.0,0,90,1.0,1500,2000,1,4864,0,0,0,0,0,0,31.856,43.802,100,7,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,653,0,0,0,0,2,
198,0,0,0,5001,0,0,0,Khelden Bremen,Mage Trainer,4660,5,5,166,166,190,190,20,11,11,19,0.93,1.14286,0.0,0,6.0,8.0,0,52,1.0,1500,2000,1,4864,0,0,0,0,8,0,8.624,11.858,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,838,0,0,0,0,2,
199,0,0,0,410,0,0,0,Young Fleshripper,,0,10,11,195,198,0,0,525,73,73,0,0.95,1.14286,0.0,0,14.0,19.0,0,64,1.0,2000,2000,1,0,0,7,0,0,0,0,15.048,20.691,100,1,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,3,0,0,1,0,0,0,0,0,0,
202,0,0,0,9786,0,0,0,Skeletal Horror,,0,23,24,613,661,0,0,975,21,21,0,0.95,1.14286,0.0,0,34.0,43.0,0,104,1.0,2000,2000,1,0,0,0,0,0,0,0,35.6224,48.9808,100,6,0,202,202,0,0,0,0,0,0,0,7399,0,0,0,0,31,45,EventAI,1,3,0,0,1,694,0,0,8602131,0,0,
203,0,0,0,9783,0,0,0,Skeletal Mage,,0,22,23,469,501,1357,1443,484,21,21,0,0.95,1.14286,0.0,0,34.0,45.0,0,100,1.0,3000,2000,8,0,0,0,0,0,0,0,35.6224,48.9808,100,6,0,203,203,0,0,0,0,0,0,0,20792,12544,0,0,0,27,40,EventAI,1,3,0,0,1,85,0,0,8602131,0,0,
205,0,0,0,736,0,0,0,Nightbane Dark Runner,,0,28,29,892,946,0,0,1165,24,24,0,0.99,1.14286,0.0,0,42.0,52.0,0,120,1.0,2000,2000,1,0,0,0,0,0,0,0,59.0304,81.1668,100,7,0,205,0,205,0,0,0,0,0,0,6595,0,0,0,0,41,58,EventAI,1,3,0,0,1,0,0,0,0,0,0,
206,0,0,0,522,0,0,0,Nightbane Vile Fang,,0,29,30,1000,1010,0,0,1200,24,24,0,1.0,1.14286,0.0,0,42.0,53.0,0,122,1.0,2000,2000,1,524288,0,0,0,0,0,0,40.8672,56.1924,100,7,0,206,0,206,0,0,0,0,0,0,3427,0,0,0,0,43,61,EventAI,0,3,0,0,1,0,0,0,0,0,0,
210,0,0,0,570,0,0,0,Bone Chewer,,0,26,27,783,836,0,0,1079,21,21,0,0.97,1.14286,0.0,0,38.0,48.0,0,112,1.0,2000,2000,1,0,0,0,0,0,0,0,42.1344,57.9348,100,6,0,210,210,0,0,0,0,0,0,0,6016,0,0,0,0,37,53,EventAI,1,3,0,0,1,0,0,0,8388624,0,0,
212,0,0,0,610,0,0,0,Splinter Fist Warrior,,0,29,30,941,996,0,0,1183,45,45,0,1.0,1.14286,0.0,0,42.0,53.0,0,122,1.0,2000,2000,1,0,0,0,0,0,0,0,42.1344,57.9348,100,7,0,212,212,0,0,0,0,0,0,0,5242,0,0,0,0,43,61,EventAI,1,3,0,0,1,774,0,0,0,0,0,
213,0,0,0,801,0,0,0,Starving Dire Wolf,,0,19,20,445,481,0,0,852,38,38,0,0.95,1.14286,0.0,0,28.0,36.0,0,90,1.0,2000,2000,1,0,0,1,0,0,0,0,42.1344,57.9348,100,1,1,213,0,213,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,0,0,1,0,0,0,0,0,0,
215,0,0,0,4276,0,0,0,Defias Night Runner,,0,24,25,664,702,0,0,1009,17,17,0,0.95,1.14286,0.0,0,36.0,46.0,0,106,1.0,2000,2000,1,0,0,0,0,0,0,0,42.1344,57.9348,100,7,0,215,215,0,0,0,0,0,0,0,2589,0,0,0,0,33,48,EventAI,1,3,0,0,1,385,0,0,0,0,0,
217,0,0,0,955,0,0,0,Venom Web Spider,,0,19,20,456,482,0,0,855,22,22,0,0.95,1.14286,0.0,0,28.0,36.0,0,90,1.0,2000,2000,1,0,0,3,0,0,0,0,28.6704,39.4218,100,1,1,217,0,0,0,0,0,0,0,0,744,745,0,0,0,0,0,EventAI,1,1,0,0,1,0,0,0,0,0,0,
218,0,0,0,4275,0,0,0,Grave Robber,,0,24,25,657,712,557,557,1009,17,17,0,0.95,1.14286,0.0,0,31.0,40.0,0,106,1.0,2000,2000,1,0,0,0,0,0,0,0,35.6224,48.9808,100,7,0,218,218,0,0,0,0,0,0,0,0,0,0,0,0,32,47,EventAI,1,3,0,0,1,766,0,0,0,0,0,
222,0,0,0,1845,0,0,0,Nillen Andemar,Macecrafter,0,19,19,860,860,0,0,20,57,57,16388,1.01,1.14286,0.0,0,21.0,27.0,0,88,1.0,1820,2002,1,0,0,0,0,0,0,0,30.4304,41.8418,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,0,0,1,576,0,0,0,0,2,
223,0,0,0,10619,0,0,0,Dan Golthas,Apprentice Leatherworker,0,23,23,1106,1106,0,0,957,71,71,19,1.1,1.14286,0.0,0,28.0,37.0,0,100,1.0,2000,2000,1,4608,0,0,2,0,0,0,36.0272,49.5374,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EventAI,0,3,0,0,1,429,0,0,0,0,2,
225,0,0,0,4331,0,0,0,Gavin Gnarltree,Weaponsmith,0,30,30,1605,1605,0,0,1200,11,11,16388,1.1,1.14286,0.0,0,42.0,53.0,0,122,1.0,1500,2000,1,4608,0,0,0,0,0,0,45.144,62.073,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,429,0,0,0,0,2,
226,0,0,0,4332,0,0,0,Morg Gnarltree,Armorer,0,28,28,1454,1454,0,0,1114,11,11,16388,1.1,1.14286,0.0,0,42.0,53.0,0,116,1.0,1500,2000,1,4608,0,0,0,0,0,0,42.1344,57.9348,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,429,0,0,0,0,2,
227,0,0,0,4340,0,0,0,Mabel Solaj,General Goods,0,26,26,1309,1309,0,0,1574,11,11,4,0.96,1.14286,0.0,0,34.0,43.0,0,110,1.0,1500,2000,1,4608,0,0,0,0,0,0,40.04,55.055,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,0,0,0,0,0,2,
228,0,0,0,4334,0,0,0,Avette Fellwood,Bowyer,0,24,24,1172,1172,0,0,975,11,11,16388,0.95,1.14286,0.0,0,30.0,39.0,0,104,1.0,1500,2000,1,4608,0,0,0,0,0,0,37.3824,51.4008,100,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,1,0,1,8,0,0,0,0,2,
232,0,0,0,3614,0,0,0,Farmer Ray,,0,23,23,802,802,0,0,957,88,88,0,1.05,1.14286,0.0,0,25.0,31.0,0,100,1.0,1500,2000,1,32768,0,0,0,0,0,0,35.6224,48.9808,100,7,0,232,232,0,0,0,0,0,0,0,0,0,0,0,0,30,44,,0,3,0,0,1,508,0,0,0,0,0,
